ID;Income (anual);sex;UBICACION;Fecha nacimiento;Area;Fecha Ingreso
1;135455;H;LIMA;18932;BUSINESS DEVELOPMENT & DIGITAL BANKIN;3/04/1972
4;106231;H;LIMA;19265;BUSINESS DEVELOPMENT & DIGITAL BANKIN;7/09/1972
6;118420;M;LIMA;18296;ENGINEERING;3/08/1967
7;147378;M;LIMA;20280;ENGINEERING;19/01/1976
8;145760;M;LIMA;20726;BUSINESS DEVELOPMENT & DIGITAL BANKIN;16/03/1976
9;95394;H;LIMA;19922;OTROS;27/01/1976
11;110684;H;LIMA;21400;ENGINEERING;16/06/1976
13;132997;H;LIMA;19940;ENGINEERING;19/07/1976
14;109888;H;LIMA;21341;CORPORATE & INVESTMENT BANKING;9/08/1976
20;103657;M;LIMA;18150;OTROS;19/09/1977
21;89011;H;LIMA;21164;TALENTO & CULTURA;1/10/1977
22;113905;H;LIMA;21135;ENGINEERING;15/08/1977
23;135973;M;LIMA;20125;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/08/2006
34;80203;M;LIMA;21091;TALENTO & CULTURA;1/02/1978
35;95390;M;LIMA;17942;TALENTO & CULTURA;19/02/1979
44;107024;H;LIMA;22266;ENGINEERING;25/06/1980
45;100204;H;LIMA;21406;TALENTO & CULTURA;11/08/1980
57;91236;H;LIMA;20868;TALENTO & CULTURA;28/01/1981
74;125494;H;LIMA;20174;ENGINEERING;21/12/1981
76;93711;H;LIMA;22065;RIESGOS;18/01/1982
77;124090;M;LIMA;21287;BANCA EMPRESAS E INSTITUCIONES;7/09/1981
79;94716;M;LIMA;21105;TALENTO & CULTURA;29/03/1982
91;66143;M;LIMA;21066;OTROS;2/07/1982
103;77520;M;LIMA;22448;RIESGOS;2/12/1982
104;107529;H;LIMA;22103;ENGINEERING;20/12/1982
105;148732;M;LIMA;19442;BANCA EMPRESAS E INSTITUCIONES;27/12/1982
119;128800;H;LIMA;21589;ENGINEERING;13/03/1981
120;96848;H;LIMA;20611;TALENTO & CULTURA;8/09/1980
130;102631;M;LIMA;20548;TALENTO & CULTURA;4/04/1983
131;74978;H;LIMA;20837;TALENTO & CULTURA;25/05/1983
132;113302;M;LIMA;20371;BANCA EMPRESAS E INSTITUCIONES;1/05/1977
134;138030;M;LIMA;21230;BANCA EMPRESAS E INSTITUCIONES;1/04/1981
135;100845;M;LIMA;20462;TALENTO & CULTURA;16/11/1978
140;89457;H;LIMA;20139;TALENTO & CULTURA;24/10/1980
149;148679;M;LIMA;21578;BUSINESS DEVELOPMENT & DIGITAL BANKIN;16/04/1980
159;77940;M;LIMA;22195;TALENTO & CULTURA;16/05/1980
165;62942;M;LIMA;22614;OTROS;13/08/1984
171;91043;M;LIMA;22322;RIESGOS;10/09/1984
175;134887;H;LIMA;21080;BUSINESS DEVELOPMENT & DIGITAL BANKIN;19/11/1984
184;74652;M;LIMA;20750;RIESGOS;9/01/1985
189;140116;M;LIMA;22178;ENGINEERING;18/03/1985
191;95299;M;LIMA;24224;RIESGOS;20/05/1985
199;146064;H;LIMA;19964;BUSINESS DEVELOPMENT & DIGITAL BANKIN;9/12/1985
200;116770;H;LIMA;23760;ENGINEERING;9/12/1985
201;96570;M;LIMA;21430;RIESGOS;10/12/1985
206;126909;H;LIMA;22995;ENGINEERING;13/02/1986
211;141971;M;PROVINCIA;21514;ENGINEERING;4/08/1986
214;146499;H;LIMA;21832;ENGINEERING;15/08/1986
230;117115;H;LIMA;21746;CORPORATE & INVESTMENT BANKING;26/03/1987
239;143207;M;LIMA;22439;ENGINEERING;5/05/1987
256;111296;H;LIMA;23806;BANCA EMPRESAS E INSTITUCIONES;10/08/1987
266;95156;H;LIMA;22549;RIESGOS;1/08/1980
270;131342;H;LIMA;19056;ENGINEERING;11/11/1985
275;101215;M;LIMA;23840;TALENTO & CULTURA;14/12/1987
283;145420;H;LIMA;21836;BUSINESS DEVELOPMENT & DIGITAL BANKIN;4/01/1988
289;139561;M;LIMA;22064;CORPORATE & INVESTMENT BANKING;1/03/1988
297;140652;H;PROVINCIA;21038;ENGINEERING;9/05/1988
306;67915;H;LIMA;22975;OTROS;7/07/1988
318;143196;H;LIMA;23678;ENGINEERING;28/11/1988
330;66107;M;LIMA;24626;OTROS;20/02/1989
339;113644;M;PROVINCIA;24009;BANCA EMPRESAS E INSTITUCIONES;5/04/1989
355;128873;M;LIMA;23262;BANCA EMPRESAS E INSTITUCIONES;17/07/1989
364;93174;H;PROVINCIA;24019;OTROS;28/08/1989
365;133381;M;PROVINCIA;24417;ENGINEERING;4/09/1989
377;111223;H;LIMA;23223;ENGINEERING;25/10/1989
382;139983;H;LIMA;22849;BUSINESS DEVELOPMENT & DIGITAL BANKIN;13/11/1989
387;74828;M;LIMA;20462;RIESGOS;2/01/1990
388;122649;H;LIMA;24403;ENGINEERING;15/01/1990
392;146421;H;LIMA;25718;CORPORATE & INVESTMENT BANKING;1/03/1990
400;139346;H;LIMA;23432;BUSINESS DEVELOPMENT & DIGITAL BANKIN;27/06/1990
403;106146;M;LIMA;21628;OTROS;30/04/1991
404;102564;H;LIMA;25114;ENGINEERING;16/05/1991
407;61785;M;LIMA;23734;OTROS;25/05/1992
409;102356;H;LIMA;22002;ENGINEERING;8/06/1992
410;114574;M;LIMA;24073;ENGINEERING;23/07/1992
428;88182;M;PROVINCIA;18299;TALENTO & CULTURA;18/10/1993
445;126929;H;PROVINCIA;20420;CORPORATE & INVESTMENT BANKING;25/06/1981
519;72764;H;PROVINCIA;20764;RIESGOS;8/08/1988
520;123241;H;PROVINCIA;19674;BANCA EMPRESAS E INSTITUCIONES;20/03/1989
544;139212;H;PROVINCIA;23213;ENGINEERING;1/10/1984
559;123726;H;PROVINCIA;20829;CORPORATE & INVESTMENT BANKING;3/12/1987
587;90865;H;LIMA;24258;RIESGOS;23/05/1994
601;106970;H;LIMA;27210;ENGINEERING;10/02/1973
603;125072;M;LIMA;23987;BANCA EMPRESAS E INSTITUCIONES;1/02/1981
604;104234;M;LIMA;20401;BANCA EMPRESAS E INSTITUCIONES;14/09/1987
609;115297;H;LIMA;19614;ENGINEERING;16/06/1986
612;108234;H;LIMA;22036;ENGINEERING;30/12/1996
615;106098;H;PROVINCIA;22681;ENGINEERING;30/12/1996
617;126274;M;LIMA;20056;CORPORATE & INVESTMENT BANKING;1/03/2008
631;145652;M;LIMA;24240;CORPORATE & INVESTMENT BANKING;25/06/1997
647;109420;H;PROVINCIA;25241;ENGINEERING;30/09/1997
658;147727;H;LIMA;25927;ENGINEERING;10/12/1997
659;131200;M;PROVINCIA;23588;BUSINESS DEVELOPMENT & DIGITAL BANKIN;10/12/1997
679;140861;M;PROVINCIA;26900;CORPORATE & INVESTMENT BANKING;16/04/1998
712;102119;H;LIMA;19884;CORPORATE & INVESTMENT BANKING;2/11/1998
737;120237;M;LIMA;27978;ENGINEERING;17/01/2000
749;132339;H;LIMA;22583;ENGINEERING;16/08/2000
765;122528;M;PROVINCIA;21732;BANCA EMPRESAS E INSTITUCIONES;16/10/1999
824;120460;M;LIMA;28593;ENGINEERING;1/08/2001
836;124324;M;LIMA;28425;BANCA EMPRESAS E INSTITUCIONES;8/02/2001
841;86417;M;LIMA;27688;RIESGOS;1/03/2001
844;92592;H;LIMA;25972;RIESGOS;29/09/2001
857;91845;M;PROVINCIA;25515;RIESGOS;3/06/2008
858;142190;M;PROVINCIA;25205;BUSINESS DEVELOPMENT & DIGITAL BANKIN;7/12/2001
861;78131;H;PROVINCIA;22648;OTROS;25/08/2001
863;93163;H;PROVINCIA;26447;RIESGOS;4/10/2001
869;107347;M;LIMA;23609;BUSINESS DEVELOPMENT & DIGITAL BANKIN;27/02/2001
923;122996;M;LIMA;28892;BANCA EMPRESAS E INSTITUCIONES;1/05/2002
935;122000;H;LIMA;28073;BANCA EMPRESAS E INSTITUCIONES;4/05/2002
975;134182;M;LIMA;28570;ENGINEERING;16/10/2000
981;116417;M;LIMA;29322;ENGINEERING;15/12/2001
1014;67683;M;LIMA;29195;OTROS;15/09/2016
1056;72927;M;LIMA;27578;TALENTO & CULTURA;19/03/2003
1082;99548;H;PROVINCIA;29001;OTROS;1/09/2002
1095;136481;M;LIMA;25447;BANCA EMPRESAS E INSTITUCIONES;29/10/1974
1110;92816;M;LIMA;28752;RIESGOS;25/11/2002
1111;97996;M;LIMA;29904;OTROS;2/12/2002
1159;148179;M;LIMA;30739;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/01/2003
1195;105883;M;LIMA;29932;BANCA EMPRESAS E INSTITUCIONES;7/07/2005
1196;140309;H;LIMA;30240;BANCA EMPRESAS E INSTITUCIONES;1/01/2006
1208;106228;M;LIMA;30827;BANCA EMPRESAS E INSTITUCIONES;11/08/2005
1230;99102;H;LIMA;29040;RIESGOS;4/11/2005
1247;105156;M;PROVINCIA;30729;BANCA EMPRESAS E INSTITUCIONES;1/01/2008
1256;102519;M;LIMA;29948;BANCA EMPRESAS E INSTITUCIONES;12/12/2005
1294;115838;H;PROVINCIA;29627;BANCA EMPRESAS E INSTITUCIONES;2/03/2006
1307;64202;M;LIMA;30354;OTROS;1/02/2011
1313;138788;H;LIMA;30837;BANCA EMPRESAS E INSTITUCIONES;1/07/2007
1322;69008;M;LIMA;30213;OTROS;1/01/2008
1329;97815;M;LIMA;30702;RIESGOS;1/12/2009
1385;128423;M;LIMA;30816;ENGINEERING;1/04/2008
1403;100915;H;LIMA;31786;OTROS;30/09/2008
1405;143044;H;LIMA;27633;CORPORATE & INVESTMENT BANKING;1/10/2007
1443;82163;H;LIMA;28343;TALENTO & CULTURA;6/03/2006
1460;103088;M;LIMA;29529;ENGINEERING;1/05/2008
1490;143018;M;LIMA;25132;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/07/2008
1491;148931;M;LIMA;29840;BANCA EMPRESAS E INSTITUCIONES;1/12/2010
1492;98722;M;LIMA;30234;OTROS;1/07/2008
1499;131791;M;LIMA;29685;ENGINEERING;31/12/2008
1504;135540;M;LIMA;29781;BANCA EMPRESAS E INSTITUCIONES;2/02/2009
1532;106829;H;LIMA;28932;BUSINESS DEVELOPMENT & DIGITAL BANKIN;15/02/2017
1545;96850;M;LIMA;31476;RIESGOS;30/09/2008
1547;147040;H;LIMA;29956;BUSINESS DEVELOPMENT & DIGITAL BANKIN;30/09/2008
1563;127177;M;LIMA;23804;CORPORATE & INVESTMENT BANKING;1/06/2008
1579;105671;M;LIMA;24078;CORPORATE & INVESTMENT BANKING;1/10/2011
1580;138192;M;LIMA;31037;BANCA EMPRESAS E INSTITUCIONES;1/11/2010
1604;141493;H;PROVINCIA;30021;ENGINEERING;1/02/2007
1615;132567;M;LIMA;30608;ENGINEERING;31/12/2008
1651;81079;M;PROVINCIA;30761;RIESGOS;2/06/2008
1670;113530;M;LIMA;29108;CORPORATE & INVESTMENT BANKING;1/07/2010
1674;132370;H;LIMA;30079;BUSINESS DEVELOPMENT & DIGITAL BANKIN;12/04/2007
1676;68143;H;LIMA;32384;OTROS;30/09/2009
1684;139459;M;LIMA;31075;BANCA EMPRESAS E INSTITUCIONES;1/07/2009
1692;88767;M;LIMA;30169;RIESGOS;1/07/2011
1705;84831;M;LIMA;32212;RIESGOS;1/07/2010
1710;89104;M;PROVINCIA;29214;TALENTO & CULTURA;1/07/2009
1731;115972;M;LIMA;31271;CORPORATE & INVESTMENT BANKING;1/07/2009
1759;96620;M;PROVINCIA;31022;TALENTO & CULTURA;17/09/2007
1770;61875;M;PROVINCIA;30088;OTROS;1/01/2010
1772;121636;M;LIMA;30014;ENGINEERING;1/01/2010
1774;130359;H;LIMA;30876;CORPORATE & INVESTMENT BANKING;1/01/2010
1801;116214;M;LIMA;30485;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/01/2010
1826;79290;M;PROVINCIA;29747;OTROS;1/07/2011
1835;107773;H;LIMA;29430;ENGINEERING;1/02/2011
1838;88408;H;LIMA;29684;OTROS;1/01/2011
1841;148716;M;LIMA;30883;ENGINEERING;1/08/2013
1855;96990;H;LIMA;25867;RIESGOS;1/04/2011
1857;129898;H;LIMA;29357;ENGINEERING;1/02/2011
1858;112222;H;LIMA;27736;ENGINEERING;1/04/2011
1859;95480;H;LIMA;27821;OTROS;1/04/2011
1860;114155;M;LIMA;30387;ENGINEERING;1/04/2011
1861;105933;H;LIMA;28969;ENGINEERING;1/07/2011
1862;110456;M;LIMA;29795;ENGINEERING;1/01/2011
1863;86892;M;LIMA;29678;OTROS;1/04/2011
1880;107111;H;LIMA;28727;ENGINEERING;1/07/2011
1881;109612;M;LIMA;29412;CORPORATE & INVESTMENT BANKING;1/06/2009
1882;104772;M;LIMA;25524;ENGINEERING;1/12/2009
1883;81861;H;LIMA;22254;OTROS;1/01/2012
1885;65726;H;LIMA;29141;OTROS;31/10/2008
1886;87069;H;PROVINCIA;29431;OTROS;1/08/2010
1901;102139;H;LIMA;27046;OTROS;1/12/2012
1946;117731;M;PROVINCIA;29728;CORPORATE & INVESTMENT BANKING;1/07/2010
1983;104305;H;LIMA;30575;OTROS;17/05/2017
2002;102765;H;LIMA;29987;BUSINESS DEVELOPMENT & DIGITAL BANKIN;16/09/2008
2136;130421;M;LIMA;28768;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/07/2011
2142;149406;H;LIMA;23905;BANCA EMPRESAS E INSTITUCIONES;1/02/2012
2212;105880;M;LIMA;29452;BANCA EMPRESAS E INSTITUCIONES;1/09/2012
2228;129832;H;LIMA;30911;CORPORATE & INVESTMENT BANKING;1/12/2011
2237;97210;H;LIMA;28270;RIESGOS;1/01/2011
2268;133930;H;LIMA;31498;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/07/2012
2272;106081;H;LIMA;30229;OTROS;1/02/2012
2274;76480;M;PROVINCIA;31596;OTROS;1/04/2012
2302;143408;H;LIMA;30817;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/04/2012
2308;119589;M;LIMA;31117;ENGINEERING;1/04/2012
2317;83997;M;PROVINCIA;29124;RIESGOS;1/05/2012
2318;147396;M;LIMA;33396;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/07/2012
2356;142212;M;PROVINCIA;29872;BANCA EMPRESAS E INSTITUCIONES;1/05/2012
2360;134956;M;LIMA;30095;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/03/2013
2367;117613;M;LIMA;31078;ENGINEERING;1/06/2012
2370;130432;M;LIMA;30704;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/06/2012
2383;109078;H;LIMA;30420;BANCA EMPRESAS E INSTITUCIONES;1/07/2012
2386;65502;H;LIMA;28137;OTROS;1/08/2011
2394;136599;M;PROVINCIA;26731;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/08/2012
2404;119433;M;LIMA;26721;ENGINEERING;1/10/2012
2405;78333;M;LIMA;27222;OTROS;1/04/2012
2410;92862;H;PROVINCIA;31798;OTROS;1/05/2012
2411;90152;H;LIMA;32398;RIESGOS;1/08/2012
2414;116899;H;LIMA;30679;ENGINEERING;1/08/2012
2423;137010;H;LIMA;29817;CORPORATE & INVESTMENT BANKING;1/04/2011
2464;135729;H;LIMA;32377;ENGINEERING;1/05/2012
2467;118881;M;LIMA;32275;ENGINEERING;1/11/2012
2476;145050;H;PROVINCIA;32626;ENGINEERING;1/05/2013
2489;85774;H;LIMA;33429;TALENTO & CULTURA;1/11/2012
2503;126444;M;LIMA;33481;BANCA EMPRESAS E INSTITUCIONES;6/12/2010
2560;131592;M;LIMA;32315;BUSINESS DEVELOPMENT & DIGITAL BANKIN;31/07/2011
2589;114722;H;LIMA;31985;ENGINEERING;1/02/2013
2593;108722;H;LIMA;30179;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/12/2012
2610;136500;H;LIMA;33343;CORPORATE & INVESTMENT BANKING;1/02/2013
2611;118641;H;LIMA;30455;CORPORATE & INVESTMENT BANKING;1/02/2013
2626;130046;H;LIMA;28203;ENGINEERING;1/01/2013
2627;127641;M;LIMA;32347;ENGINEERING;1/02/2013
2629;75217;M;LIMA;31772;OTROS;1/10/2012
2638;68921;H;PROVINCIA;32205;OTROS;1/04/2013
2646;108065;M;PROVINCIA;29736;OTROS;1/04/2013
2647;114696;H;LIMA;30502;CORPORATE & INVESTMENT BANKING;1/04/2013
2672;137341;H;LIMA;33380;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/12/2012
2674;93162;M;PROVINCIA;28071;TALENTO & CULTURA;1/01/2013
2686;122572;H;LIMA;30712;CORPORATE & INVESTMENT BANKING;1/01/2013
2772;97890;M;PROVINCIA;30242;TALENTO & CULTURA;15/12/2013
2788;118567;H;PROVINCIA;31429;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/07/2013
2816;102020;M;LIMA;28631;ENGINEERING;1/12/2013
2832;140093;H;LIMA;33860;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/09/2013
2856;134548;M;LIMA;31048;CORPORATE & INVESTMENT BANKING;1/10/2013
2857;119448;H;LIMA;30063;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/10/2013
2862;105122;M;LIMA;30923;BANCA EMPRESAS E INSTITUCIONES;1/01/2014
2865;114395;M;LIMA;33587;ENGINEERING;1/01/2014
2873;147827;M;LIMA;29400;CORPORATE & INVESTMENT BANKING;1/02/2014
2874;118453;H;LIMA;33753;ENGINEERING;15/03/2012
2875;77825;H;LIMA;33825;OTROS;1/03/2013
2876;115794;H;PROVINCIA;25426;ENGINEERING;1/03/2013
2877;112634;M;PROVINCIA;29765;BANCA EMPRESAS E INSTITUCIONES;1/10/2013
2895;106507;H;LIMA;32302;ENGINEERING;1/10/2013
2898;107516;M;LIMA;31492;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/01/2014
2899;117264;M;LIMA;29786;BANCA EMPRESAS E INSTITUCIONES;1/10/2013
2903;132257;M;LIMA;29853;ENGINEERING;1/12/2013
2910;117446;M;LIMA;29282;ENGINEERING;1/08/2013
2915;148983;M;PROVINCIA;29667;ENGINEERING;1/11/2013
2935;146303;H;PROVINCIA;33548;ENGINEERING;1/01/2014
2938;141139;H;LIMA;29233;ENGINEERING;1/05/2015
2951;104721;M;LIMA;32895;OTROS;13/06/2012
2954;146559;M;LIMA;27692;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/07/2014
2957;122315;H;LIMA;32286;ENGINEERING;1/07/2013
2958;134338;M;LIMA;28552;BANCA EMPRESAS E INSTITUCIONES;1/01/2013
2970;146214;M;LIMA;31400;ENGINEERING;1/03/2014
2971;123445;H;LIMA;31170;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/05/2014
2972;146932;M;LIMA;32167;ENGINEERING;1/05/2014
2973;132010;M;LIMA;30583;ENGINEERING;1/05/2014
2976;102746;H;PROVINCIA;34110;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/08/2012
2978;141748;M;LIMA;33731;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/03/2014
2985;103965;M;PROVINCIA;31367;CORPORATE & INVESTMENT BANKING;1/07/2014
2998;107513;H;PROVINCIA;28639;OTROS;1/06/2014
3015;131477;H;LIMA;27421;ENGINEERING;1/07/2014
3016;112958;M;LIMA;29408;CORPORATE & INVESTMENT BANKING;1/05/2014
3020;136851;H;LIMA;31217;ENGINEERING;1/10/2012
3042;81823;H;LIMA;28377;TALENTO & CULTURA;1/06/2014
3072;84793;H;LIMA;32620;OTROS;24/02/2014
3081;73949;H;PROVINCIA;33065;OTROS;20/08/2013
3099;145089;M;LIMA;33102;ENGINEERING;1/01/2015
3153;149911;M;PROVINCIA;33433;BANCA EMPRESAS E INSTITUCIONES;1/06/2015
3179;104283;M;LIMA;33996;CORPORATE & INVESTMENT BANKING;1/04/2015
3189;120717;H;LIMA;33740;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/05/2013
3199;91000;M;LIMA;33108;RIESGOS;29/04/2013
3204;106869;H;PROVINCIA;30759;ENGINEERING;29/04/2013
3226;110766;M;PROVINCIA;31588;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/06/2015
3227;109304;M;LIMA;31390;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/06/2015
3228;123154;H;LIMA;31668;ENGINEERING;1/06/2015
3229;147789;H;LIMA;31635;ENGINEERING;1/04/2015
3230;135303;H;LIMA;29397;BUSINESS DEVELOPMENT & DIGITAL BANKIN;17/04/2015
3249;118837;H;PROVINCIA;32251;ENGINEERING;1/06/2015
3250;61174;M;PROVINCIA;29877;OTROS;1/03/2015
3259;137374;M;PROVINCIA;30386;ENGINEERING;13/08/2015
3265;104040;M;LIMA;33430;ENGINEERING;1/05/2015
3294;120349;M;PROVINCIA;32630;CORPORATE & INVESTMENT BANKING;1/07/2015
3295;105609;M;PROVINCIA;29110;OTROS;1/07/2015
3296;135395;M;PROVINCIA;30017;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/07/2015
3297;143479;M;LIMA;30036;CORPORATE & INVESTMENT BANKING;8/02/2016
3318;139553;M;LIMA;31207;CORPORATE & INVESTMENT BANKING;15/09/2013
