ID;Income (anual);sex;UBICACION;Fecha nacimiento;Area;Fecha Ingreso
3319;121713;M;LIMA;29988;BANCA EMPRESAS E INSTITUCIONES;16/09/2013
3347;129163;M;PROVINCIA;31082;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/06/2014
3368;130779;H;LIMA;31314;BANCA EMPRESAS E INSTITUCIONES;1/01/2015
3369;124369;H;LIMA;33904;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/07/2015
3372;105255;M;LIMA;32575;ENGINEERING;1/09/2015
3373;102515;M;LIMA;34229;RIESGOS;1/01/2016
3374;71001;H;PROVINCIA;33862;OTROS;15/01/2014
3425;109834;H;LIMA;33597;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/05/2015
3435;96211;M;PROVINCIA;31630;RIESGOS;1/04/2016
3437;111655;H;PROVINCIA;34684;ENGINEERING;1/12/2015
3439;145172;H;PROVINCIA;33139;ENGINEERING;1/04/2016
3463;148710;M;LIMA;34204;ENGINEERING;1/06/2017
3464;133349;H;LIMA;33969;CORPORATE & INVESTMENT BANKING;1/05/2015
3465;85241;M;LIMA;32161;RIESGOS;6/04/2017
3494;148226;M;LIMA;32560;ENGINEERING;1/04/2016
3497;99439;H;LIMA;27480;RIESGOS;1/04/2016
3530;112236;M;LIMA;29666;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/04/2016
3531;127211;H;LIMA;33460;CORPORATE & INVESTMENT BANKING;1/04/2016
3532;84189;H;LIMA;32941;RIESGOS;1/04/2016
3537;74291;M;PROVINCIA;34830;RIESGOS;15/07/2014
3599;120487;M;PROVINCIA;33552;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/06/2016
3600;100027;H;LIMA;33056;RIESGOS;1/08/2016
3601;133169;H;LIMA;31130;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/08/2016
3602;125753;H;LIMA;34460;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/09/2016
3605;104889;H;LIMA;30026;RIESGOS;1/10/2014
3606;145557;H;LIMA;32441;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/10/2014
3607;121849;H;LIMA;33659;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/10/2014
3608;83435;M;LIMA;30393;RIESGOS;1/10/2014
3642;135966;M;LIMA;30887;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/10/2016
3657;145459;H;LIMA;29996;BANCA EMPRESAS E INSTITUCIONES;1/11/2014
3684;145694;M;PROVINCIA;31778;ENGINEERING;15/08/2016
3685;113610;H;LIMA;29605;ENGINEERING;1/01/2016
3689;103099;H;LIMA;34113;BANCA EMPRESAS E INSTITUCIONES;15/07/2015
3716;145224;M;LIMA;34543;ENGINEERING;15/02/2015
3717;105178;M;LIMA;32462;ENGINEERING;15/02/2015
3718;91584;H;PROVINCIA;33124;TALENTO & CULTURA;15/02/2015
3739;101756;M;LIMA;30370;TALENTO & CULTURA;1/03/2017
3750;136088;H;LIMA;32432;ENGINEERING;15/03/2015
3752;87886;H;LIMA;32339;RIESGOS;1/03/2017
3754;76032;M;LIMA;34569;RIESGOS;1/01/2017
3755;87362;M;LIMA;32195;RIESGOS;1/01/2017
3756;130724;H;LIMA;34289;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/03/2017
3781;114505;M;LIMA;35305;ENGINEERING;1/01/2017
3833;108990;M;PROVINCIA;34724;ENGINEERING;1/06/2015
3835;109156;H;PROVINCIA;34331;ENGINEERING;1/06/2017
3836;119586;M;PROVINCIA;33317;ENGINEERING;1/05/2017
3839;143654;M;PROVINCIA;31943;BANCA EMPRESAS E INSTITUCIONES;1/01/2018
3840;120503;H;LIMA;29360;BANCA EMPRESAS E INSTITUCIONES;1/06/2017
3841;118055;H;LIMA;33154;ENGINEERING;1/06/2017
3842;145286;M;LIMA;31879;ENGINEERING;15/06/2015
3872;139635;H;LIMA;31245;CORPORATE & INVESTMENT BANKING;1/06/2017
3873;87464;H;LIMA;29781;RIESGOS;1/05/2017
3874;141001;H;LIMA;33538;CORPORATE & INVESTMENT BANKING;1/05/2017
3876;149260;M;LIMA;32431;BANCA EMPRESAS E INSTITUCIONES;1/06/2017
3917;86965;H;LIMA;32404;RIESGOS;1/05/2016
3918;101765;H;LIMA;31904;RIESGOS;1/02/2017
3919;114567;M;LIMA;32442;ENGINEERING;1/02/2017
3920;116337;H;LIMA;33201;BANCA EMPRESAS E INSTITUCIONES;1/09/2015
3921;77821;H;LIMA;32657;RIESGOS;1/09/2015
3923;84630;H;LIMA;30050;RIESGOS;1/09/2015
3954;86761;M;LIMA;31412;OTROS;14/09/2016
3955;83424;H;LIMA;31600;OTROS;14/09/2016
3956;148165;M;LIMA;32875;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/02/2017
3957;79912;H;LIMA;30627;RIESGOS;1/09/2017
3960;93938;H;LIMA;31897;RIESGOS;1/09/2017
3961;106317;H;LIMA;29126;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/08/2017
3984;100872;M;LIMA;30033;RIESGOS;1/09/2017
3985;121148;M;LIMA;31969;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/09/2017
3986;135125;M;LIMA;31878;BANCA EMPRESAS E INSTITUCIONES;1/11/2017
3989;100105;M;PROVINCIA;32045;RIESGOS;1/09/2017
3990;116414;M;PROVINCIA;29938;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/09/2017
3991;92905;M;PROVINCIA;27882;RIESGOS;1/09/2017
3992;75518;H;PROVINCIA;31208;RIESGOS;1/09/2017
3994;89346;H;PROVINCIA;29425;OTROS;1/09/2017
3998;96402;H;LIMA;32240;RIESGOS;1/06/2017
4036;123450;M;LIMA;32346;BUSINESS DEVELOPMENT & DIGITAL BANKIN;16/11/2015
4037;77934;H;LIMA;32141;RIESGOS;15/11/2015
4038;93485;H;LIMA;34543;RIESGOS;1/05/2018
4051;73465;H;LIMA;32397;TALENTO & CULTURA;1/11/2017
4079;108070;H;LIMA;33698;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/09/2017
4080;78072;M;LIMA;33563;OTROS;1/01/2018
4106;63260;M;LIMA;32852;OTROS;1/02/2016
4107;132988;M;LIMA;32025;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/01/2018
4114;143024;H;LIMA;32787;ENGINEERING;15/02/2016
4115;95553;H;LIMA;32625;OTROS;15/02/2016
4118;133129;M;LIMA;33386;ENGINEERING;15/05/2017
4119;125997;H;LIMA;31478;ENGINEERING;1/10/2016
4120;124704;H;LIMA;29078;ENGINEERING;15/02/2016
4141;109768;M;LIMA;32128;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/02/2018
4142;122348;H;LIMA;33576;CORPORATE & INVESTMENT BANKING;1/02/2018
4143;74964;H;LIMA;34432;OTROS;1/02/2018
4148;113915;M;LIMA;34777;BUSINESS DEVELOPMENT & DIGITAL BANKIN;15/08/2017
4197;109185;H;PROVINCIA;33591;ENGINEERING;1/05/2016
4198;141276;M;LIMA;34145;ENGINEERING;15/12/2017
4199;119961;M;LIMA;34083;ENGINEERING;2/05/2016
4200;136952;H;LIMA;34081;ENGINEERING;1/05/2016
4201;102755;H;LIMA;29695;ENGINEERING;1/05/2016
4202;140393;M;LIMA;31704;ENGINEERING;1/05/2016
4203;147079;H;LIMA;31445;ENGINEERING;1/05/2016
4204;140167;M;LIMA;32965;ENGINEERING;1/05/2016
4205;112523;M;LIMA;33553;ENGINEERING;1/05/2016
4206;148389;M;LIMA;33290;ENGINEERING;1/05/2016
4208;114350;M;LIMA;32592;ENGINEERING;1/05/2016
4209;71986;H;LIMA;32205;OTROS;1/03/2018
4210;65237;H;LIMA;32998;OTROS;1/03/2018
4211;115477;M;LIMA;31696;ENGINEERING;1/05/2018
4227;98500;H;LIMA;32734;OTROS;12/07/2017
4248;102588;M;LIMA;34037;RIESGOS;1/06/2016
4294;113261;M;LIMA;33977;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/07/2016
4394;113437;H;LIMA;34649;BANCA EMPRESAS E INSTITUCIONES;1/06/2018
4395;94742;H;LIMA;29640;RIESGOS;1/06/2018
4422;120805;H;LIMA;31597;BANCA EMPRESAS E INSTITUCIONES;20/09/2016
4423;142243;M;LIMA;32951;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/10/2017
4424;139306;M;LIMA;29068;ENGINEERING;1/10/2016
4425;112896;M;LIMA;32125;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/10/2016
4426;142327;H;LIMA;35384;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/10/2016
4427;138348;H;LIMA;33770;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/10/2016
4428;140187;M;LIMA;31582;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/10/2016
4452;108886;H;LIMA;32518;ENGINEERING;3/10/2016
4454;139363;M;LIMA;33088;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/07/2018
4455;102565;M;LIMA;34237;ENGINEERING;1/07/2018
4456;114939;M;LIMA;34605;ENGINEERING;1/07/2018
4458;128944;M;LIMA;31969;CORPORATE & INVESTMENT BANKING;1/07/2018
4459;79801;M;LIMA;30783;OTROS;1/10/2016
4460;136319;H;LIMA;32750;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/10/2016
4461;131021;H;PROVINCIA;31766;ENGINEERING;1/06/2018
4464;83743;M;LIMA;33954;RIESGOS;1/07/2018
4465;139932;M;LIMA;34417;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/07/2018
4466;103173;M;PROVINCIA;34430;BUSINESS DEVELOPMENT & DIGITAL BANKIN;11/10/2016
4476;111478;H;LIMA;33174;BANCA EMPRESAS E INSTITUCIONES;10/04/2017
4516;144838;M;LIMA;31371;ENGINEERING;1/05/2018
4517;137646;M;PROVINCIA;33133;ENGINEERING;1/03/2018
4519;141482;M;PROVINCIA;31612;ENGINEERING;31/07/2018
4520;88715;M;LIMA;35343;RIESGOS;1/08/2018
4521;110920;H;LIMA;34971;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/08/2018
4536;109655;H;LIMA;33103;BUSINESS DEVELOPMENT & DIGITAL BANKIN;15/11/2016
4573;122813;M;LIMA;29158;ENGINEERING;1/01/2017
4579;143369;H;LIMA;33648;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/01/2017
4581;84872;H;LIMA;35476;TALENTO & CULTURA;1/01/2017
4610;113345;H;LIMA;34758;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/02/2017
4635;96511;H;LIMA;34423;TALENTO & CULTURA;7/02/2017
4638;110317;H;LIMA;30899;BUSINESS DEVELOPMENT & DIGITAL BANKIN;15/02/2017
4639;146417;M;LIMA;32405;BANCA EMPRESAS E INSTITUCIONES;15/02/2017
4642;137682;M;PROVINCIA;32700;BUSINESS DEVELOPMENT & DIGITAL BANKIN;14/02/2017
4670;143311;M;PROVINCIA;32208;ENGINEERING;7/03/2017
4671;85213;H;LIMA;32723;OTROS;7/03/2017
4674;100561;M;PROVINCIA;31660;TALENTO & CULTURA;7/03/2017
4721;101763;M;LIMA;32770;OTROS;21/03/2017
4777;93259;H;LIMA;33925;TALENTO & CULTURA;9/05/2017
4783;118196;M;LIMA;29692;CORPORATE & INVESTMENT BANKING;9/05/2017
4785;115232;H;LIMA;31955;BANCA EMPRESAS E INSTITUCIONES;9/05/2017
4787;130101;H;LIMA;32043;ENGINEERING;22/05/2017
4790;74771;M;LIMA;32421;TALENTO & CULTURA;18/05/2018
4808;88744;M;LIMA;32961;TALENTO & CULTURA;1/06/2017
4809;91557;H;LIMA;29082;TALENTO & CULTURA;1/06/2017
4810;74348;H;PROVINCIA;33729;TALENTO & CULTURA;1/06/2017
4813;108018;M;LIMA;31863;CORPORATE & INVESTMENT BANKING;6/06/2017
4820;107782;H;PROVINCIA;32563;OTROS;6/06/2017
4879;110771;M;LIMA;33151;BUSINESS DEVELOPMENT & DIGITAL BANKIN;17/07/2017
4880;96351;M;LIMA;31623;RIESGOS;18/07/2017
4881;109852;H;LIMA;32354;OTROS;18/07/2017
4883;144167;M;LIMA;33300;BUSINESS DEVELOPMENT & DIGITAL BANKIN;18/07/2017
4884;114883;H;LIMA;31613;BUSINESS DEVELOPMENT & DIGITAL BANKIN;18/07/2017
4885;142790;H;LIMA;34560;BUSINESS DEVELOPMENT & DIGITAL BANKIN;18/07/2017
4886;102839;M;LIMA;30210;OTROS;1/07/2018
4887;63726;H;LIMA;33817;OTROS;18/07/2017
4888;70793;M;LIMA;31309;OTROS;18/07/2017
4892;119032;H;LIMA;28290;ENGINEERING;18/07/2017
4893;104765;M;LIMA;29907;RIESGOS;18/07/2017
4915;89705;H;LIMA;30010;TALENTO & CULTURA;1/08/2017
4917;104680;H;LIMA;33955;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/08/2017
4918;144730;M;LIMA;34173;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/08/2017
4925;106868;H;PROVINCIA;31513;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/08/2017
4926;82643;M;LIMA;33283;OTROS;1/08/2017
5004;127156;H;LIMA;34761;BUSINESS DEVELOPMENT & DIGITAL BANKIN;5/09/2017
5005;97213;H;LIMA;33522;OTROS;5/09/2017
5006;104824;H;LIMA;32785;ENGINEERING;5/09/2017
5007;79276;M;LIMA;29307;OTROS;5/09/2017
5011;129835;H;LIMA;32400;ENGINEERING;15/09/2017
5012;97590;H;LIMA;32094;TALENTO & CULTURA;15/09/2017
5014;100803;H;LIMA;32999;TALENTO & CULTURA;15/09/2017
5049;111679;M;LIMA;32035;BUSINESS DEVELOPMENT & DIGITAL BANKIN;18/09/2017
5050;114889;M;LIMA;31333;BANCA EMPRESAS E INSTITUCIONES;19/09/2017
5070;113322;H;LIMA;32044;ENGINEERING;3/10/2017
5134;111794;H;LIMA;32065;ENGINEERING;16/10/2017
5188;65725;M;LIMA;34141;OTROS;2/11/2017
5189;133487;M;PROVINCIA;34215;ENGINEERING;2/11/2017
5191;133885;H;PROVINCIA;35298;ENGINEERING;2/11/2017
5192;103168;H;LIMA;34213;ENGINEERING;2/11/2017
5193;135333;H;LIMA;33905;ENGINEERING;2/11/2017
5194;108067;M;PROVINCIA;34670;ENGINEERING;2/11/2017
5195;148415;H;LIMA;33805;ENGINEERING;2/11/2017
5196;102412;H;LIMA;35482;BUSINESS DEVELOPMENT & DIGITAL BANKIN;2/11/2017
5197;104024;M;PROVINCIA;33822;TALENTO & CULTURA;2/11/2017
5199;93603;H;LIMA;31024;RIESGOS;2/11/2017
5200;109203;M;PROVINCIA;31656;ENGINEERING;2/11/2017
5201;104361;M;PROVINCIA;33685;CORPORATE & INVESTMENT BANKING;2/11/2017
5202;85127;M;LIMA;29542;OTROS;2/11/2017
5203;113144;H;LIMA;33090;ENGINEERING;2/11/2017
5247;139264;M;LIMA;34306;ENGINEERING;20/11/2017
5264;138368;M;LIMA;32966;ENGINEERING;1/12/2017
5265;75958;H;LIMA;32176;RIESGOS;1/12/2017
5298;102623;H;LIMA;31895;ENGINEERING;1/01/2018
5299;117329;M;LIMA;33143;BANCA EMPRESAS E INSTITUCIONES;1/01/2018
5303;125047;M;LIMA;30216;CORPORATE & INVESTMENT BANKING;1/01/2018
5368;77714;M;LIMA;28206;OTROS;1/02/2018
5370;90698;M;PROVINCIA;31344;OTROS;29/01/2018
5379;132165;H;LIMA;32040;BUSINESS DEVELOPMENT & DIGITAL BANKIN;29/01/2018
5383;75361;M;LIMA;28939;OTROS;29/01/2018
5416;92056;H;LIMA;33051;TALENTO & CULTURA;6/02/2018
5417;94895;M;LIMA;31459;TALENTO & CULTURA;6/02/2018
5420;94876;M;LIMA;32057;TALENTO & CULTURA;6/02/2018
5421;89684;H;LIMA;34225;TALENTO & CULTURA;12/02/2018
5422;89992;M;LIMA;34473;TALENTO & CULTURA;12/02/2018
5423;73383;M;LIMA;32864;TALENTO & CULTURA;12/02/2018
5425;74986;H;LIMA;32387;TALENTO & CULTURA;12/02/2018
5433;80863;H;LIMA;27746;TALENTO & CULTURA;12/02/2018
5435;115511;H;PROVINCIA;32393;ENGINEERING;12/02/2018
5436;141204;M;LIMA;32796;ENGINEERING;12/02/2018
5438;116359;H;LIMA;34040;ENGINEERING;12/02/2018
5439;134123;H;LIMA;33431;ENGINEERING;12/02/2018
5452;63938;H;LIMA;31722;OTROS;15/02/2018
5453;107219;H;LIMA;30198;ENGINEERING;15/02/2018
5454;105358;H;LIMA;31378;OTROS;15/02/2018
5456;78945;M;LIMA;32288;OTROS;15/02/2018
5457;74582;H;LIMA;33918;OTROS;15/02/2018
5524;81577;H;LIMA;32498;TALENTO & CULTURA;13/03/2018
5648;90336;H;LIMA;34788;TALENTO & CULTURA;10/04/2018
5667;137906;H;LIMA;34077;BANCA EMPRESAS E INSTITUCIONES;17/04/2018
5680;113113;H;LIMA;33725;ENGINEERING;17/04/2018
5688;126536;H;LIMA;33338;BUSINESS DEVELOPMENT & DIGITAL BANKIN;17/04/2018
5689;116664;M;LIMA;33643;BUSINESS DEVELOPMENT & DIGITAL BANKIN;17/04/2018
5690;141759;H;LIMA;32659;ENGINEERING;17/04/2018
5691;124243;M;LIMA;32014;CORPORATE & INVESTMENT BANKING;17/04/2018
5692;147388;M;LIMA;32398;ENGINEERING;17/04/2018
5693;105425;H;LIMA;30025;CORPORATE & INVESTMENT BANKING;17/04/2018
5694;102183;M;LIMA;31127;CORPORATE & INVESTMENT BANKING;17/04/2018
5699;138102;H;LIMA;33679;BUSINESS DEVELOPMENT & DIGITAL BANKIN;17/04/2018
5798;85849;H;LIMA;33898;TALENTO & CULTURA;1/06/2018
5812;87766;M;LIMA;33294;TALENTO & CULTURA;1/06/2018
5813;101573;M;LIMA;31420;TALENTO & CULTURA;1/06/2018
5814;77746;M;PROVINCIA;32454;TALENTO & CULTURA;1/06/2018
5900;144659;M;LIMA;33195;BANCA EMPRESAS E INSTITUCIONES;12/06/2018
5905;97116;H;LIMA;33685;TALENTO & CULTURA;12/06/2018
5914;101817;H;LIMA;32177;TALENTO & CULTURA;12/06/2018
5915;93939;H;LIMA;34183;TALENTO & CULTURA;12/06/2018
5916;93705;M;LIMA;33474;TALENTO & CULTURA;12/06/2018
5917;95301;H;LIMA;31486;TALENTO & CULTURA;12/06/2018
5924;120862;M;LIMA;34474;ENGINEERING;12/06/2018
5948;103143;M;LIMA;33864;BUSINESS DEVELOPMENT & DIGITAL BANKIN;12/06/2018
5949;137016;H;LIMA;33011;CORPORATE & INVESTMENT BANKING;12/06/2018
5950;77529;M;LIMA;35822;TALENTO & CULTURA;12/06/2018
5952;80227;H;LIMA;32485;TALENTO & CULTURA;18/06/2018
5993;117048;M;LIMA;31466;BANCA EMPRESAS E INSTITUCIONES;22/06/2018
5994;92465;M;LIMA;30827;TALENTO & CULTURA;22/06/2018
5995;84757;M;LIMA;32058;TALENTO & CULTURA;22/06/2018
5996;72905;M;LIMA;33119;TALENTO & CULTURA;22/06/2018
6010;93363;H;LIMA;24657;TALENTO & CULTURA;1/07/2018
6011;88584;M;LIMA;24027;TALENTO & CULTURA;1/07/2018
6015;77325;M;PROVINCIA;27201;TALENTO & CULTURA;2/07/2018
6023;80412;M;LIMA;29182;TALENTO & CULTURA;1/07/2018
6027;73110;H;PROVINCIA;26241;TALENTO & CULTURA;1/07/2018
6054;125722;M;LIMA;26409;BANCA EMPRESAS E INSTITUCIONES;11/07/2018
6055;84763;M;LIMA;26298;TALENTO & CULTURA;11/07/2018
6059;138098;H;LIMA;31171;BUSINESS DEVELOPMENT & DIGITAL BANKIN;16/07/2018
6061;104755;M;PROVINCIA;29223;RIESGOS;16/07/2018
6089;103181;M;LIMA;32700;TALENTO & CULTURA;20/07/2018
6092;80561;M;LIMA;29090;TALENTO & CULTURA;20/07/2018
6094;97199;M;LIMA;31775;TALENTO & CULTURA;20/07/2018
6107;85378;M;LIMA;31314;TALENTO & CULTURA;20/07/2018
6116;88894;M;LIMA;28512;TALENTO & CULTURA;23/07/2018
6133;86495;H;LIMA;27038;TALENTO & CULTURA;26/07/2018
6138;78644;H;LIMA;30721;TALENTO & CULTURA;26/07/2018
6140;88798;H;LIMA;26630;TALENTO & CULTURA;26/07/2018
6141;140881;H;LIMA;26584;ENGINEERING;26/07/2018
6142;73984;M;LIMA;31579;TALENTO & CULTURA;26/07/2018
6148;113752;H;LIMA;32626;BUSINESS DEVELOPMENT & DIGITAL BANKIN;26/07/2018
6149;77183;M;LIMA;32396;TALENTO & CULTURA;26/07/2018
6158;113192;M;LIMA;32585;BANCA EMPRESAS E INSTITUCIONES;1/08/2018
6160;90474;M;PROVINCIA;33392;OTROS;1/08/2018
6178;138875;H;LIMA;32206;ENGINEERING;1/08/2018
6190;90713;M;LIMA;32334;TALENTO & CULTURA;1/08/2018
6196;101442;H;LIMA;25805;OTROS;3/08/2018
6206;79774;H;LIMA;27205;OTROS;3/08/2018
6214;61940;H;LIMA;32712;OTROS;3/08/2018
6219;103062;M;LIMA;31236;OTROS;3/08/2018
6225;68985;M;LIMA;28510;OTROS;3/08/2018
6229;117106;M;LIMA;26215;ENGINEERING;3/08/2018
6234;83144;M;LIMA;30507;RIESGOS;3/08/2018
6235;72104;H;LIMA;30998;RIESGOS;3/08/2018
6238;107601;M;LIMA;30442;ENGINEERING;10/08/2018
